충전소위치,충전소위치상세,휴점일,이용가능시작시간,이용가능종료시간,완속충전가능여부,급속충전가능여부,급속충전기타입,완속충전기개수,급속충전기개수,주차료부과여부,행정구역,지번주소,도로명주소,관리업체,위도,경도,제공기관명,기준일,위도경도
동녘도서관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 구좌읍 세화리 1198,제주특별자치도 제주시 구좌읍 일주동로 3132,환경부,33.520768,126.854705,환경부,20240924.0,"[33.520768, 126.854705]"
신화역사공원 조성사업,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 1279,,환경부,33.2972172,126.3068691,환경부,20240926.0,"[33.2972172, 126.3068691]"
웅전공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,False,제주시,제주특별자치도 제주시 노형동 2517-1,,환경부,33.48271691,126.47184937,환경부,20240926.0,"[33.48271691, 126.47184937]"
수덕공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,False,제주시,제주특별자치도 제주시 노형동 2534-3,,환경부,33.48346416,126.47424822,환경부,20240926.0,"[33.48346416, 126.47424822]"
도로 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,제주시,제주특별자치도 제주시 한림읍 금악리 1242-8,,환경부,33.3497015,126.3051166,환경부,20240926.0,"[33.3497015, 126.3051166]"
한림항 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,제주시,제주특별자치도 제주시 한림읍 한림리 1377-48,,환경부,33.4104,126.2584,환경부,20240926.0,"[33.4104, 126.2584]"
제주동부하수처리장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,,제주특별자치도 제주시 월정서로 162,환경부,33.5623803,126.7781928,환경부,20240926.0,"[33.5623803, 126.7781928]"
금능해수욕장 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 한림읍 금능리 2018,,환경부,33.3908,126.2376,환경부,20240926.0,"[33.3908, 126.2376]"
제주 청소년수련원 도로변 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 한림읍 금능리 2243-2,,환경부,33.3778,126.2379,환경부,20240926.0,"[33.3778, 126.2379]"
비자림,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 구좌읍 평대리 3161-1,제주특별자치도 제주시 구좌읍 비자숲길 55,환경부,33.491586,126.811214,환경부,20240926.0,"[33.491586, 126.811214]"
월드컵경기장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,서귀포시,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 31,환경부,33.246551,126.5071,환경부,20240926.0,"[33.246551, 126.5071]"
제주4.3평화재단 공원,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,제주시,제주특별자치도 제주시 봉개동 237-2,제주특별자치도 제주시 명림로 430,환경부,33.450197,126.621615,환경부,20240926.0,"[33.450197, 126.621615]"
제주국제대학교,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,제주시,제주특별자치도 제주시 영평동 2235,제주특별자치도 제주시 516로 2870,환경부,33.44059,126.572195,환경부,20240926.0,"[33.44059, 126.572195]"
용두암 공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,False,제주시,제주특별자치도 제주시 용담이동 483,제주특별자치도 제주시 용두암길 15,환경부,33.51478249,126.51153269,환경부,20240926.0,"[33.51478249, 126.51153269]"
제주시 민속오일시장 주차타워,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 도두일동 1212,제주특별자치도 제주시 오일장서길 26,환경부,33.496349,126.476492,환경부,20240926.0,"[33.496349, 126.476492]"
외도119센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 외도일동 175-1,제주특별자치도 제주시 통물길 75,환경부,33.4863586,126.4376633,환경부,20240926.0,"[33.4863586, 126.4376633]"
조천도서관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,제주시,제주특별자치도 제주시 조천읍 함덕리 919,제주특별자치도 제주시 조천읍 일주동로 1189,환경부,33.5374423,126.6680295,환경부,20240926.0,"[33.5374423, 126.6680295]"
한경면(청수리)청수마을회관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 한경면 청수리 1571,제주특별자치도 제주시 한경면 대한로 1036,환경부,33.317755,126.247556,환경부,20240926.0,"[33.317755, 126.247556]"
